Article No.,Title,Year,Author Number,Key Words,Citation,Source,Abstract,Type
88,Effects of Virtual Reality Simulation Program Regarding High-risk Neonatal Infection Control on Nursing Students,2021,4,"Infection control,Neonatal nursing, Simulation training, Virtual reality",17,ASIAN NURSING RESEARCH,"Purpose: Virtual reality simulation can give nursing students a safe clinical experience involving high risk infants where access to neonatal intensive care units is limited. This study aimed to examine the effects of a virtual reality simulation program on Korean nursing students' knowledge, performance self efficacy and learner satisfaction. Methods: A nonequivalent control group design was applied. Senior nursing students were divided into an experimental group (n = 25) experiencing virtual reality simulation and routine neonatal intensive care unit practice and a control group (n = 25) having routine neonatal intensive care unit practice. The program consisted of three scenarios: basic care, feeding management and skin care and environmental management for prevention of neonatal infection. The total execution time for the three scenarios was 40 minutes. The simulation created immersive virtual reality experiences using a head-mounted display with hand-tracking technology. Data were collected from December 9, 2019, to January 17, 2020, and were analyzed using descriptive statistics and the t-test, paired t-tests, Mann-Whitney test and Wilcoxon signed-ranks test. Results: Compared to the control group, the experimental group showed significantly greater improvements in high-risk neonatal infection control performance self-efficacy (t =-2.16, p = .018) and learner satisfaction (t =-5.59, p < .001). Conclusion: The virtual reality simulation program can expand the nursing students' practice experience in safe virtual spaces and enhance their performance self-efficacy and learning satisfaction. (c) 2021 Korean Society of Nursing Science. Published by Elsevier BV. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).",Journal
89,360 degrees virtual reality video for the acquisition of knot tying skills: A randomised controlled trial,2018,4,"Virtual reality, Knot tying, Reef knot, 360-Degree video",87,INTERNATIONAL JOURNAL OF SURGERY,"Background: 360 degrees virtual reality (VR) video is an exciting and evolving field. Current technology promotes a totally immersive, 3-dimensional (3D), 360 degrees experience anywhere in the world using simply a smart phone and virtual reality headset. The potential for its application in the field of surgical education is enormous. The aim of this study was to determine knot tying skills taught with a 360-degree VR video compared to conventional 2D video teaching.Material and methods: This trial was a prospective, randomised controlled study. 40 foundation year doctors (first year postgraduate) were randomised to either the 360-degree VR video (n = 20) or 2D video teaching (n = 20). Participants were given 15 min to watch their allocated video. Ability to fie a single handed reef knot was then assessed against a marking criteria developed for the Royal College of Surgeons, England, (RCSeng) Basic Surgical Skills (BSS) course, by a blinded assessor competent in knot tying. Each candidate then underwent further teaching using Peyton's four step model. Knot tying technique was then re-assessed.Results: Knot tying scores were significantly better in the VR video teaching arm when compared with conventional (median knot score 5.0 vs 4.0 p = 0.04). When used in combination with face to face skills teaching this difference persisted (median knot score 9.5 vs 9.0 p = 0.01). More people in the VR arm constructed a complete reef knot than in the 2D arm following face to face teaching (17/20 vs 12/20). No difference between the groups existed in the time taken to construct a reef knot following video and teaching (median time 31.0s vs 30.5s p = 0.89).Conclusion: This study shows there is significant merit in the application of 360-degree VR video technology in surgical training, both as an independent teaching aid and when used as an adjunct to traditional face to face teaching.",Journal
90,Using virtual reality to train emotional and social skills in children with autism spectrum disorder,2018,2,"Autism spectrum disorder, social skills, emotions, virtual reality, child",102,LONDON JOURNAL OF PRIMARY CARE,"With emerging technology, computerised, internet-based and virtual reality (VR)-based treatment and training became increasingly popular. VR provides an immersive experience into a simulated environment. Autism spectrum disorder (ASD) is characterised by social communication deficits and repetitive behaviours. Children with ASD often require social skills training while VR provides a safe, controllable environment to practice skills repeatedly. The Centre for Innovative Applications of Internet and Multimedia Technologies (AIMTech Centre) at City University of Hong Kong developed a VR-enabled training program to examine its efficacy on emotional and social skills with six VR scenarios depicting the daily lives of typical children in Hong Kong. 94 children from mainstream primary schools in Hong Kong completed the study and 72 children were included in the analysis. Children from training group scored higher on emotion expression and regulation (M = 20.2, SD = 3.00) than before the training (M = 1 8.9 , SD = 3.57, t(35) = -2.174, p = .037) and higher on social interaction and adaptation after the training (M = 21.8, SD = 2.99) than before training (M = 20.2, SD = 3.43, t(35) = -3.987, p < .0005). There was a statistically significant interaction between group and time on affective expressions, F(1,70) = 5.223,p = .025, partial n(2)= .069, and on social reciprocity, F(1,70) = 7.769, p = .007, partial n(2) = .100. Children were able to engage in VR training despite initial challenges with viewing goggles. Some children declined to participate due to scheduling reasons which may be minimised through the adoption of head-mounted displays as a portable, cost-effective device. VR seems to be a promising asset to traditional training and therapy while the importance trainers' or therapists' support has yet to be further investigated.",Journal
91,Developing an Innovative Method for Visual Perception Evaluation in a Physical-Based Virtual Environment,2019,5,"Visual performance, Virtual reality (VR), Visual quality, Virtual luminous environment, Lighting, Lighting perception",45,BUILDING AND ENVIRONMENT,"With the developments in virtual reality technologies, significant researches have been conducted for human response on indoor luminous environment using head-mounted display to replace those in real environment. However, the limited resolution and luminance values offered by the devices might affect the perceived appearance and high-order impressions in the simulated virtual environment. In this study, a simulated 3-dimensional virtual office was compared against a real one. Both settings presented similar physical and luminous conditions to twenty participants (N = 20). The study investigated subjective and objective visual responses and participants' interaction with the virtual environment based on measurements of perceived presence. Subjective assessments included questions on luminous environment appearance (brightness, colour-temperature, distribution) and high-order perceptions (pleasantness, interest, spaciousness, excitement and complexity). Objective assessments measured contrast-sensitivity and colour-discrimination tasks to assess visual performance across the two representation environments. Results showed no significant differences between the two environments based on the studied parameters, indicating a high level of perceptual accuracy of appearance and high-order perceptions. Minor physical symptoms related to the headset use and high level of perceived presence were found, indicating the proposed methodology's capability to provide realistic immersive environments. Although attributes regarding scene quality: colours, details, and contrast were perceived significantly different to the real environment, objective tasks showed that similar contrast and colour appearance can be produced in the virtual environment with minor impact on fine-details due to limited resolution. Virtual reality maybe a promising alternative representation medium to investigate visual perceptions as the overall appearance of the scene can still be correctly acquired.",Journal
92,Effectiveness of Self-Guided Virtual Reality-Based Cognitive Behavioral Therapy for Panic Disorder: Randomized Controlled Trial,2021,7,virtual reality; panic disorder; cognitive behavioral therapy ; exposure therapy; intervention,5,JMIR MENTAL HEALTH,"Background: Virtual reality (VR) is as effective a technique as traditional cognitive behavioral therapy (CBT) and a promising tool for treating panic disorder symptoms because VR exposure can be safer and has better acceptability than in vivo exposure and is more immersive than exposure through imagination. CBT techniques can be delivered more effectively using VR as well. So far, VR has required high-quality devices, but the development of mobile VR technology has improved user availability. At the same time, a well-structured form of VR can be reproduced and used anywhere. This means that VR can be used to provide a self-guided form of treatment and address the high treatment costs of evidence-based therapy and the lack of professional therapists. This study aimed to investigate the potential of self-guided VR as an alternative to high-cost treatment.Objective: The main goal of this study was to offer data about the efficacy of a mobile app-based self-led VR CBT in the treatment of panic disorder.Methods: A total of 54 subjects with panic disorder were enrolled in this study and randomly assigned to either the VR treatment group or waitlist group. The VR treatment was designed to be total 12 sessions for 4 weeks. The VR treatment consists of 4 steps in which patients are gradually exposed to phobic stimuli while learning to cope with panic symptoms in each stage. The effectiveness of treatment was assessed through the Panic Disorder Severity Scale, Hamilton Rating Scale for Depression, Body Sensations Questionnaire, Albany Panic and Phobia Questionnaire, Anxiety Sensitivity Index, State-Trait Anxiety Inventory, Hospital Anxiety and Depression Scale, Korean Inventory of Social Avoidance and Distress Scale, Korean Inventory of Depressive Symptomatology, and Perceived Stress Scale. In addition, physiological changes using heart rate variability were evaluated.Results: In within-group analyses, the VR treatment group exhibited improvements in panic disorder symptoms, anxiety, and depression after 4 weeks, while the waitlist group did not show any significant improvement. Compared to the waitlist group, the VR treatment group showed significantly greater improvements in the Panic Disorder Severity Scale in both completer analysis and intention-to-treat analysis. Heart rate variability in the VR treatment group showed improvement in normalized high frequency from baseline to postassessment with no significant differences in any outcome measure between groups.Conclusions: The self-guided, mobile app-based VR intervention was effective in the treatment of panic symptoms and restoring the autonomic nervous system demonstrating the validity of the use of VR for self-guided treatment. VR treatment can be a cost-effective therapeutic approach.",Journal
93,Situational English Teaching Experience and Analysis Using Distributed 5G and VR,2022,2,,1,Mobile Information Systems,"Situational teaching has become an important issue in the current development of new teaching modes. The development of the fifth generation (5G) and virtual reality (VR) technologies provide powerful support for reforming the new teaching method. The smart education application scenario implemented by the immersive 5G+ VR smart classroom renders situational English teaching more efficient. Therefore, in this study, we design and analyze a new teaching scenario based on 5G+ VR technology for situational English teaching. First, we design the overall framework of teaching around teaching goals, learner characteristics, teaching resources, and teaching evaluation. We divide the virtual classroom into three different teaching processes: before, during, and after class. Second, we form a virtual classroom teaching system, which includes a cloud system, communication equipment, and a VR classroom applet. Finally, we design the interaction scheme between teachers and students in situational English teaching. The experimental results demonstrate that our method improves teaching effectiveness, which has significant implications for English teaching. © 2022 Hui Ding and Mingyang Qi.",Journal
94,Training birdsong recognition using virtual reality,2021,3,Human computer interaction; Virtual environment; Birdsong; Audio training; User engagement,1,Virtual Reality and Intelligent Hardware,"Background: In mega-biodiverse environments, where different species are more likely to be heard than seen, species monitoring is generally performed using bioacoustics methodologies. Furthermore, since bird vocalizations are reasonable estimators of biodiversity, their monitoring is of great importance in the formulation of conservation policies. However, birdsong recognition is an arduous task that requires dedicated training in order to achieve mastery, which is costly in terms of time and money due to the lack of accessibility of relevant information in field trips or even specialized databases. Immersive technology based on virtual reality (VR) and spatial audio may improve species monitoring by enhancing information accessibility, interaction, and user engagement. Methods: This study used spatial audio, a Bluetooth controller, and a head-mounted display (HMD) to conduct an immersive training experience in VR. Participants moved inside a virtual world using a Bluetooth controller, while their task was to recognize targeted birdsongs. We measured the accuracy of recognition and user engagement according to the User Engagement Scale. Results: The experimental results revealed significantly higher engagement and accuracy for participants in the VR-based training system than in a traditional computer-based training system. All four dimensions of the user engagement scale received high ratings from the participants, suggesting that VR-based training provides a motivating and attractive environment for learning demanding tasks through appropriate design, exploiting the sensory system, and virtual reality interactivity. Conclusions: The accuracy and engagement of the VR-based training system were significantly high when tested against traditional training. Future research will focus on developing a variety of realistic ecosystems and their associated birds to increase the information on newer bird species within the training system. Finally, the proposed VR-based training system must be tested with additional participants and for a longer duration to measure information recall and recognition mastery among users. © 2021 Beijing Zhongke Journal Publishing Co. Ltd",Journal
95,XR-Immersive Labs Improve Student Motivation to Learn Kinesiology,2021,4,"virtual reality, extended reality, education, motivation, learning, laboratory",3,Frontiers in Virtual Reality,"Kinesiology is an inherently spatial discipline, both physically and visually. The use of extended reality-immersive lab activities may enhance students’ motivation to learn by enabling students to interact with visual content and illustrate and demonstrate kinesiology content and concepts. Using an instrumental case study method, this article assesses the use of extended reality immersion across three semesters of an upper division kinesiology course focused on motor control. This is a unique approach because it blends established physical motor control and biomechanical data collection techniques with emerging virtual reality technology to enhance—rather than replace—the lab experience. The effectiveness is measured via an experimental design to contribute to the small, but growing, body of knowledge on the efficacy of immersive learning. Copyright © 2021 Tunur, Hauze, Frazee and Stuhr.",Journal
96,Lessons Learned From Immersive and Desktop VR Training of Mines Rescuers,2021,5,"Virtual reality, Immersive technology, Training, High risk industry, Mining industry, Regression modelling, Prediction",3,Frontiers in Virtual Reality,"This paper discusses results from two successive rounds of virtual mines rescue training. The first round was conducted in a surround projection environment (360-VR), and the second round was conducted in desktop virtual reality (Desktop-VR). In the 360-VR condition, trainees participated as groups, making collective decisions. In the Desktop-VR condition, trainees could control their avatars individually. Overall, 372 participants took part in this study, including 284 mines rescuers who took part in 360-VR, and 243 in Desktop-VR. (155 rescuers experienced both.) Each rescuer who trained in 360-VR completed a battery of pre- and post-training questionnaires. Those who attended the Desktop-VR session only completed the post-training questionnaire. We performed principal components analysis on the questionnaire data, followed by a multiple regression analysis, the results of which suggest that the chief factor contributing to positive learning outcome was Learning Context, which extracted information about the quality of the learning content, the trainers, and their feedback. Subjective feedback from the Desktop-VR participants indicated that they preferred Desktop-VR to 360-VR for this training activity, which highlights the importance of choosing an appropriate platform for training applications, and links back to the importance of Learning Context. Overall, we conclude the following: 1) it is possible to train effectively using a variety of technologies but technology that is well-suited to the training task is more useful than technology that is “more advanced,” and 2) factors that have always been important in training, such as the quality of human trainers, remain critical for virtual reality training. Copyright © 2021 Pedram, Skarbez, Palmisano, Farrelly and Perez.",Journal
97,Exploring the impact of multi-class teams in an immersive learning environment on student learning experience and engagement,2021,2,"Enterprise Resource Planning, ERP, Accounting, interdisciplinary, games, simulation, experiential learning, systems/technology",0,International Journal of Business and Systems Research,"This project examines student learning experience and engagement utilising both multi-class interdisciplinary teams in an immersive learning environment to address the need for a strong subject-oriented business core education while breaking down the silos to reflect the integrative and interdependent nature of corporate working environments in business school education. The interdisciplinary teams were formed from students across two courses in a business school: Masters in Business Administration (MBA) Managerial Accounting and Enterprise Resource Planning (ERP). The immersive learning environment simulated a working environment where members of the Accounting department worked with members of the production, sales and information technology (IT) departments in a make-to-order manufacturing company. The students worked together to adjust their company operations in response to changing market demands and fluctuating raw materials costs in multiple simulation rounds. The student assessments indicated positive learning experiences and engagement working in multi-class interdisciplinary teams in an immersive learning environment. Copyright © 2021 Inderscience Enterprises Ltd.",Journal
98,Immersive learning: Applications of virtual reality for undergraduate education,2021,2,"Academic libraries, experiential learning, undergraduate education, virtual reality",11,College and Undergraduate Libraries,"Virtual reality technology has applications across many academic disciplines and has the potential to contribute to student centered, experiential learning opportunities. Some academic libraries have begun to offer access to this technology as part of their mission to provide broad access to information and learning resources. The virtual reality studio in the Taylor Family Digital Library, the central library at the University of Calgary, was introduced in the summer of 2016, five years after the building first opened. Since the launch of the virtual reality studio, it has experienced a diverse range of uses encompassing teaching, learning, and research across many disciplines. Due to its success, VR offerings have been expanded to include a semi-mobile VR cart, a VR development room, and loanable VR equipment. This article will describe the configuration, access policies, and outreach activities around the library’s VR services and spaces, and discuss in more detail how they have been used in undergraduate classes including kinesiology, dance, literatures, and art history. © 2020 The Author(s). Published with license by Taylor & Francis Group, LLC.",Journal
99,Virtual & augmented reality for biological microscope in experiment education,2020,4,Virtual realityAugmented realityMicroscopeOperating guideExperiment,45,Virtual Reality and Intelligent Hardware,"BackgroundMixed-reality technologies, including virtual reality (VR) and augmented reality (AR), are considered to be promising potential tools for science teaching and learning processes that could foster positive emotions, motivate autonomous learning, and improve learning outcomes. Methods: In this study, a technology-aided biological microscope learning system based on VR/AR is presented. The structure of the microscope is described in a detailed three-dimensional (3D) model, each component being represented with their topological interrelationships and associations among them being established. The interactive behavior of the model was specified, and a standard operating guide was compiled. The motion control of components was simulated based on collision detection. Combined with immersive VR equipment and AR technology, we developed a virtual microscope subsystem and a mobile virtual microscope guidance system. Results: The system consisted of a VR subsystem and an AR subsystem. The focus of the VR subsystem was to simulate operating the microscope and associated interactive behaviors that allowed users to observe and operate the components of the 3D microscope model by means of natural interactions in an immersive scenario. The AR subsystem allowed participants to use a mobile terminal that took a picture of a microscope from a textbook and then displayed the structure and functions of the instrument, as well as the relevant operating guidance. This flexibly allowed students to use the system before or after class without time and space constraints. The system allowed users to switch between the VR and AR subsystems. Conclusions: The system is useful for helping learners (especially K-12 students) to recognize a microscope's structure and grasp the required operational skills by simulating operations using an interactive process. In the future, such technology-assisted education would be a successful learning platform in an open learning space. © 2019 Beijing Zhongke Journal Publishing Co. Ltd",Journal
100,Use of augmented reality to improve specific and transversal competencies in students,2020,4,Augmented reality; Specific and transversal competences; University students; Digital competence; App,9,"International Journal of Learning, Teaching and Educational Research","Work in higher educational centres implicates the use of different types of methodology. The digital society demands students with a digital competence, and it is the responsibility of the university institution to ensure they succeed in obtaining it. This article presents an innovative immersive experience developed in a seminar on emerging technologies with 231 university students, and records their perceptions of some augmented reality apps used on the Social Education degree course and the Social Work and Social Education joint degree course at Pablo de Olavide University in Seville (Spain) in the academic years 2016-2018. A qualitative exploratory descriptive study was used to analyse the experience. The study presents the most important findings of this experience with augmented reality at the university, and proposes some didactic uses for the most interesting of these apps, with attention to their usability, ease of use and capacity to help early-stage learners to acquire new knowledge. Students considered that AR apps would provide educational scenarios that were more stimulating, collaborative and interactive, and would foment a more open type of education (N= 159/68.8%). The principal conclusion is using this technology in the psychosocial treatment of problems could help social area professionals to sharpen their competences and, at the same time, reinforce support and improve the conditions and treatments of aspects identified in these at risk groups. © 2020 The authors and IJLTER.ORG. All rights reserved.",Journal
101,A study of developments and applications of mixed reality cubicles and their impact on learning,2020,3,A study of developments and applications of mixed reality cubicles and their impact on learning,9,International Journal of Information and Learning Technology,"Purpose: The purpose of this paper is to report on developments and applications of mixed reality cubicles and their impacts on learning in higher education. This paper investigates and presents the cost effective application of augmented reality (AR) as a mixed reality technology via or to mobile devices such as head-mounted devices, smart phones and tablets. Discuss the development of mixed reality applications for mobile (smartphones and tablets) devices leading up to the implementation of a mixed reality cubicle for immersive three dimensional (3D) visualizations. Design/methodology/approach: The approach adopted was to limit the considerations to the application of AR via mobile platforms including head-mounted devices with focus on smartphones and tablets, which contain basic feedback–to-user channels such as speakers and display screens. An AR visualization cubicle was jointly developed and applied by three collaborating institutions. The markers, acting as placeholders acts as identifiable reference points for objects being inserted in the mixed reality world. Hundreds of participants comprising academics and students from seven different countries took part in the studies and gave feedback on impact on their learning experience. Findings: Results from current study show less than 30 percent had used mixed reality environments. This is lower than expected. About 70 percent of participants were first time users of mixed reality technologies. This indicates a relatively low use of mixed reality technologies in education. This is consistent with research findings reported that educational use and research on AR is still not common despite their categorization as emerging technologies with great promise for educational use. Research limitations/implications: Current research has focused mainly on cubicles which provides immersive experience if used with head-mounted devices (goggles and smartphones), that are limited by their display/screen sizes. There are some issues with limited battery lifetime for energy to function, hence the need to use rechargeable batteries. Also, the standard dimension of cubicles does not allow for group visualizations. The current cubicle has limitations associated with complex gestures and movements involving two hands, as one hand are currently needed for holding the mobile phone. Practical implications: The use of mixed reality cubicles would allow and enhance information visualization for big data in real time and without restrictions. There is potential to have this extended for use in exploring and studying otherwise inaccessible locations such as sea beds and underground caves. Social implications – Following on from this study further work could be done to developing and application of mixed reality cubicles that would impact businesses, health and entertainment. Originality/value: The originality of this paper lies in the unique approach used in the study of developments and applications of mixed reality cubicles and their impacts on learning. The diverse composition in nature and location of participants drawn from many countries comprising of both tutors and students adds value to the present study. The value of this research include amongst others, the useful results obtained and scope for developments in the future. © 2019, Emerald Publishing Limited.",Journal
102,Immersive research experiences for high school students aimed at promoting diversity and visibility in pharmacy education,2020,4,"research, diversity, high school, pharmaceutical sciences, pipeline",6,American Journal of Pharmaceutical Education,"Two challenges frequently faced by schools of pharmacy are the training of a workforce that reflects the racial and ethnic diversity of the populations they serve, as well as raising public awareness of the mission and impact of pharmacy schools. One underutilized strategy in addressing these challenges is directly engaging high school students, whose race and ethnicity more closely reflect the increasing diversity of the US population, in immersive research experiences at schools of pharmacy. Motivated by the multidisciplinary nature of pharmaceutical sciences that involve integration of various science, technology, engineering, and mathematics (STEM) disciplines, the UNC Eshelman School of Pharmacy created the Young Innovators Program (YIP). The program is an eight-week paid summer internship that immerses participants in cutting-edge and innovative research. Through careful plan-ning, strategic collaboration, and a purposeful recruitment process, we believe pharmacy education could benefit from the expansion of immersive programs that promote the engagement of racially and ethnically diverse high school students in real-world research. © 2020 American Association of Colleges of Pharmacy.",Journal
103,Influence of affective priming effect of immersive virtual reality horror games on cognitive processing of college students,2020,2,"Immersive Virtual Reality Horror Game, Affective Priming Effect, Cognitive Processing, College Student.",0,Revista Argentina de Clinica Psicologica,"This paper aims to disclose how the affective priming effect of immersive virtual reality (VR) horror games influences the cognitive processing of college students. A total of 200 college students were selected and divided evenly into four groups by the random number table method: long-time game (LTG), medium-time game(MTG), short-time game (STG) and non-game (NG) group. Each group has 25 moles and 25 females. The members of first three groups were asked to play a horror game for 10,20 and 30min, respectively. Then, all the subjects underwent the Implicit Association Test (IAT), followed by a word identification task, in which the correct number of responses and reaction time of each student were recorded. The results show that the LTG group outperformed the other groups in cognitive processing and correctness of word identification; the affective state of the fixed intensity level can improve cognitive processing, the hyper-high level of affective activation interferes with or even hinders cognitive processing, and the excessively low activation is insufficient to support cognitive processing. The research results shed new light on the application of immersive VR technology in cognitive learning. © 2020 Fundacion Aigle.",Journal
104,"The use of immersive and virtual reality technologies to enable nursing students to experience scenario-based, basic life support training-exploring the impact on confidence and skills",2020,4,"Clinical skills, Competence, Confidence, Student nurses, Virtual reality",24,CIN - Computers Informatics Nursing,"The link between effective basic life support and survival following cardiac arrest is well known. Nurses are often first responders at in-hospital cardiac arrests and receive annual basic life support training to ensure they have the adequate skills, and student nurses are taught this in preparation for their clinical practice. However, it is clear that some nurses still lack confidence and skills to perform basic life support in an emergency situation. This innovative study included 209 participants, used a mixed-methods approach, and examined three environments to compare confidence and skills in basic life support training. The environments were nonimmersive (basic skills room), immersive (immersive room with video technology), and the Octave (mixed reality facility). The skills were measured using a Laerdal training manikin (QCPR manikin), with data recorded on a wireless Laerdal Simpad, and confidence levels before and after training were measured using a questionnaire. The nonimmersive and the immersive rooms were familiar environments, and the students felt more comfortable, relaxed, and, thus, more confident. The Octave offered the higher level of simulation utilizing virtual reality technology. Students felt less comfortable and less confident in the Octave; we assert that this was because the environment was unfamiliar. The study identified that placing students in an unfamiliar environment influences the confidence and skills associated with basic life support; this could be used as a way of preparing student nurses with the necessary emotional resilience to cope in stressful situations. Copyright © 2020 Wolters Kluwer Health, Inc. All rights reserved.",Journal
105,"360-degree videos, VR experiences and the application of education 4.0 technologies in Malaysia for exposure and immersion",2020,5,"360-degree videos, Content development, Education 4.0, Immersive learning Learning technologies, Virtual Reality",24,"Advances in Science, Technology and Engineering Systems","Obstacles, both imagined and real, continue to hinder the wider adoption of Education 4.0 learning technologies although these technologies are available in the mainstream consumer market. At the same time, the boom in Industry 4.0 manufacturing has brought down the prices of these technological tools making them generally more affordable. A case in point is 360-degree spherical video cameras and software that can record, render and playback immersive 'real life' contents. 360-degree spherical video contents can then be rendered and post-processed into VR (virtual reality) experiences that are not just immersive but also allow for limitless exposure time to learners. Both technologies allow for learner-driven learning to happen in the truest sense, for instance for second and foreign language learners. This research paper examines data collected from 560 undergraduates (n = 560) who were immersed and exposed to 360-degree videos and VR experiences for degree level courses on English (as a second language), Mandarin (Chinese) (as a third or foreign language, and Arabic (as a third or foreign language) at four public university campuses in Peninsular Malaysia. The benefits of 360-degree videos and VR experiences in second and foreign languages content delivery were evident to support learner-driven learning: Contents were developed by local lecturers and then uploaded for free online and learners could learn anytime, anywhere; total immersion could be achieved using cheap VR goggles powered by learners' smartphones; and most beneficially, weaker learners who desperately need more time to understand and practice difficult degree level second or foreign languages now have the freedom to revise and upskill themselves at their own pace. © 2020 ASTES Publishers. All rights reserved.",Journal
106,The effect of stereoscopic three-dimensional images on vocabulary learning,2019,1,Vocabulary learning; Stereoscopic 3D images; Multimedia; Virtual reality; Immersive environments,11,Contemporary Educational Technology,"Vocabulary is crucial for language learning. Therefore, searching for the most effective methods to master vocabulary is an important quest. This study investigated the effect of stereoscopic three-dimensional (S3D) images on recall and retention of foreign language vocabulary. S3D images, frequently used in virtual reality visualizations, are highly realistic and differ from non-stereoscopic three-dimensional (NS3D) images in that they provide an impression of depth. In this within-subject study, American subjects (N = 82) were exposed to 16 Polish words accompanied by corresponding images. Half of these images were in NS3D format, and half were in S3D format. The vocabulary was counterbalanced throughout four randomly distributed versions of the experiment. Quantitative data were drawn from immediately administered and one-week-delayed productive and receptive vocabulary tests. Qualitative data were gathered through background questionnaires and follow-up surveys, which included a mixture of open-ended and Likert scale questions. Two-tailed, paired t-tests showed no significant difference on vocabulary recall and retention of test scores for words represented with NS3D and S3D images. Post hoc tests revealed that lower performance on S3D images occurred only for those subgroups of subjects who exhibited discomfort or lack of experience with S3D technology, or both. © 2019, Anadolu University, Faculty of Communication Sciences. All rights reserved.",Journal
107,Exploring the use of a stereoscopic 360 degree learning environment for business education,2019,2,"Situated learning, immersive environment, stereoscopic technology, business education.",2,International Journal of Information and Education Technology,"The tremendous development and popularity of portable immersive virtual technologies currently has given chance to educators to develop any kind of innovative educational practices. Educators are able to conduct a situated learning approach virtually beyond the boundaries of traditional classroom and workshop practices. This research aimed to enhance our business students’ learning achievement with an effective situated learning programme, and in order to develop their professional knowledge and problem solving skills through the use of a designed stereoscopic 360 degree learning environments. There is hitherto little research on studying the similar subject. Thus, a quasi-experimental research method was applied to look at students’ learning achievements in order to contribute to the future development of similar innovative pedagogies. The findings showed that students’ learning achievements in the stereoscopic 360 degree learning environment are better than those traditional classroom/workshop practices. However, the results also showed that the use of this new platform is not yet promising to motivate and prepare them for independent learning and self-evaluation. Further investigation is needed for actual implementation in business education. © 2019, International Journal of Information and Education Technology. All rights reserved.",Journal
108,A network-based virtual reality simulation training approach for orthopedic surgery,2018,4,"Virtual reality, orthopedic surgery, medical simulation, Next Generation Internet technologies, immersive simulator",16,"ACM Transactions on Multimedia Computing, Communications and Applications","The focus of this article is on the adoption of immersive and haptic simulators for training of medical residents in a surgical process called Less Invasive Stabilization System (LISS) plating surgery. LISS surgery is an orthopedic surgical procedure to treat fractures of the femur bone. Development of such simulators is a complex task which involves multiple systems, technologies, and human experts. Emerging Next Generation Internet technologies were used to develop the standalone on-line haptic-based simulator accessible to the students 24/7. A standalone immersive surgical simulator was also developed using HTC Vive. Expert surgeons played an important role in developing the simulator system; use cases of the target surgical processes were built using a modeling language called the engineering Enterprise Modeling Language (eEML). A detailed study presenting the comparison between the haptic-based simulator and the immersive simulator has been also presented. The outcomes of this study underscore the potential of using such simulators in surgical training. © 2018 ACM.",Journal
109,Experiential learning: The effective application of virtual reality in teaching and learning,2018,5,Experiential learning; Virtual reality; Learning style; Education; Technology,2,Journal of Social Sciences Research,"Virtual reality education is a computer interface with specific characteristics transforming an immersive and interactive experience in to an education evolution. The purpose of this paper is to look into different approaches to study on emergence of the application of virtual reality in teaching and learning in classroom. Academic literatures indicate artificial intelligence is an evolution of the technology that taking the education to new ways. The pilot questionnaire was administered to a group of 45 subjects. A group was primed to complete the questionnaire before engagement of virtual reality and completed the questionnaire for post-test after experienced the virtual reality. Analysis from empirical evidence proves that virtual reality presents an opportunity of learning with a real situation, but artificially created enabling the visualization and the interaction sense with the study. This paper contributes to the theory on the implications of emerging technologies on the way students learn and how institutions teach and evolve. The paper draws intention to the implication of better appropriation of the concepts and a bigger facility in the activities performance specifically in modern education. © 2018 Academic Research Publishing Group.",Journal
110,Design of Multimedia Teaching Platform for Chinese Folk Art Performance Based on Virtual Reality Technology,2017,1,"VR technology, teaching of Chinese folk art performance, teaching design, multimedia",26,International Journal of Emerging Technologies in Learning,"Virtual reality (VR) technology can bring us immersive, so it can be widely applied in all professions and trades. The application of multimedia in Chinese folk art performance teaching has many problems and defects, and VR technology can help overcome such problems and defects. This paper aims to develop and design multimedia teaching with VR technology from the aspects of system structure, system function, system multimedia, and system implementation based on the defects in the course of Chinese Folk Art Performance, to combine virtual situations created with VR technology with the teaching of Chinese folk art performance, and decompose classic teaching cases. Contrast experiment shows that the VR-based multiple teaching systems is helpful for students to improve their theoretical knowledge reserve and enhance students’ self-regulation of learning, arouse students’ learning interest, and improve classroom atmosphere. These findings indicate this teaching design can help students comprehend the teaching contents of Chinese folk art performance, and improve students’ learning ability and efficiency © 2017. International Journal of Emerging Technologies in Learning. All rights reserved.",Journal
